% Dataset used in the tabular data benchmark https://github.com/LeoGrin/tabular-benchmark, transformed in the same way. This dataset belongs to the "classification on numerical features" benchmark. Original description: 
%  
% **Author**: Paulo Cortez, Sergio Moro
% **Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/bank+marketing)
% **Please cite**: S. Moro, R. Laureano and P. Cortez. Using Data Mining for Bank Direct Marketing: An Application of the CRISP-DM Methodology. In P. Novais et al. (Eds.), Proceedings of the European Simulation and Modelling Conference - ESM'2011, pp. 117-121, Guimaraes, Portugal, October, 2011. EUROSIS.       
%
% **Bank Marketing**  
% The data is related with direct marketing campaigns of a Portuguese banking institution. The marketing campaigns were based on phone calls. Often, more than one contact to the same client was required, in order to access if the product (bank term deposit) would be (or not) subscribed. 
%
% The classification goal is to predict if the client will subscribe a term deposit (variable y).
%
% ### Attribute information  
% For more information, read [Moro et al., 2011].
%
% Input variables:
%
% - bank client data:
%
% 1 - age (numeric) 
%
% 2 - job : type of job (categorical: "admin.","unknown","unemployed","management","housemaid","entrepreneur", "student","blue-collar","self-employed","retired","technician","services") 
%
% 3 - marital : marital status (categorical: "married","divorced","single"; note: "divorced"  means divorced or widowed) 
%
% 4 - education (categorical: "unknown","secondary","primary","tertiary") 
%
% 5 - default: has credit in default? (binary: "yes","no") 
%
% 6 - balance: average yearly balance, in euros (numeric) 
%
% 7 - housing: has housing loan? (binary: "yes","no") 
%
% 8 - loan: has personal loan? (binary: "yes","no")
%
% - related with the last contact of the current campaign:
%
% 9 - contact: contact communication type (categorical: "unknown","telephone","cellular")
%
% 10 - day: last contact day of the month (numeric)
%
% 11 - month: last contact month of year (categorical: "jan", "feb", "mar", ..., "nov", "dec")
%
% 12 - duration: last contact duration, in seconds (numeric)
%
% - other attributes:
%
% 13 - campaign: number of contacts performed during this campaign and for this client (numeric, includes last contact)
%
% 14 - pdays: number of days that passed by after the client was last contacted from a previous campaign (numeric, -1 means client was not previously contacted) 
%
% 15 - previous: number of contacts performed before this campaign and for this client (numeric) 
%
% 16 - poutcome: outcome of the previous marketing campaign (categorical: "unknown","other","failure","success")
%  
% - output variable (desired target):
%
% 17 - y - has the client subscribed a term deposit? (binary: "yes","no")
@RELATION bank-marketing

@ATTRIBUTE V1 REAL
@ATTRIBUTE V6 REAL
@ATTRIBUTE V10 REAL
@ATTRIBUTE V12 REAL
@ATTRIBUTE V13 REAL
@ATTRIBUTE V14 REAL
@ATTRIBUTE V15 REAL
@ATTRIBUTE Class {1, 2}

@DATA
46.0,0.0,6.0,322.0,5.0,-1.0,0.0,1
57.0,0.0,14.0,360.0,2.0,-1.0,0.0,1
34.0,510.0,27.0,33.0,7.0,-1.0,0.0,1
33.0,1072.0,29.0,144.0,2.0,-1.0,0.0,1
60.0,1626.0,27.0,395.0,2.0,-1.0,0.0,1
36.0,722.0,29.0,103.0,7.0,-1.0,0.0,1
54.0,466.0,4.0,297.0,1.0,-1.0,0.0,1
36.0,82.0,29.0,45.0,4.0,-1.0,0.0,1
56.0,705.0,19.0,164.0,2.0,-1.0,0.0,1
40.0,0.0,28.0,147.0,2.0,-1.0,0.0,1
39.0,94.0,6.0,181.0,2.0,-1.0,0.0,1
41.0,294.0,28.0,150.0,14.0,-1.0,0.0,1
34.0,260.0,22.0,142.0,2.0,-1.0,0.0,1
38.0,137.0,10.0,624.0,1.0,-1.0,0.0,1
39.0,26233.0,2.0,462.0,1.0,-1.0,0.0,1
40.0,858.0,21.0,173.0,1.0,-1.0,0.0,1
62.0,1381.0,19.0,1020.0,1.0,-1.0,0.0,1
33.0,15.0,22.0,199.0,1.0,-1.0,0.0,1
28.0,-395.0,30.0,141.0,4.0,-1.0,0.0,1
44.0,3.0,6.0,147.0,1.0,-1.0,0.0,1
41.0,402.0,17.0,114.0,17.0,-1.0,0.0,1
35.0,20.0,7.0,51.0,2.0,-1.0,0.0,1
37.0,0.0,15.0,280.0,6.0,-1.0,0.0,1
37.0,332.0,14.0,190.0,2.0,84.0,7.0,1
73.0,7111.0,12.0,284.0,1.0,182.0,1.0,1
50.0,-111.0,5.0,19.0,11.0,-1.0,0.0,1
34.0,0.0,2.0,83.0,1.0,-1.0,0.0,1
43.0,0.0,12.0,3.0,1.0,-1.0,0.0,1
49.0,378.0,9.0,189.0,2.0,-1.0,0.0,1
53.0,-634.0,19.0,695.0,3.0,-1.0,0.0,1
40.0,2502.0,18.0,205.0,1.0,-1.0,0.0,1
55.0,856.0,29.0,101.0,4.0,-1.0,0.0,1
58.0,3108.0,21.0,53.0,1.0,-1.0,0.0,1
42.0,-78.0,29.0,10.0,23.0,-1.0,0.0,1
38.0,35.0,17.0,156.0,1.0,273.0,3.0,1
50.0,1005.0,17.0,188.0,3.0,-1.0,0.0,1
55.0,538.0,13.0,306.0,1.0,67.0,2.0,1
55.0,-171.0,15.0,30.0,2.0,-1.0,0.0,1
57.0,8403.0,20.0,11.0,11.0,-1.0,0.0,1
33.0,422.0,6.0,406.0,3.0,-1.0,0.0,1
45.0,193.0,29.0,116.0,2.0,-1.0,0.0,1
40.0,5.0,18.0,219.0,3.0,-1.0,0.0,1
51.0,2506.0,30.0,210.0,3.0,-1.0,0.0,1
31.0,259.0,19.0,287.0,1.0,-1.0,0.0,1
32.0,202.0,4.0,429.0,1.0,201.0,1.0,1
49.0,0.0,14.0,151.0,2.0,-1.0,0.0,1
32.0,2313.0,9.0,99.0,26.0,-1.0,0.0,1
37.0,1699.0,9.0,63.0,1.0,-1.0,0.0,1
55.0,467.0,25.0,129.0,5.0,-1.0,0.0,1
30.0,-2.0,9.0,136.0,2.0,-1.0,0.0,1
49.0,126.0,19.0,184.0,2.0,-1.0,0.0,1
42.0,2189.0,16.0,67.0,5.0,149.0,2.0,1
31.0,374.0,28.0,49.0,4.0,-1.0,0.0,1
33.0,3655.0,19.0,183.0,20.0,-1.0,0.0,1
51.0,3962.0,2.0,267.0,1.0,-1.0,0.0,1
33.0,488.0,5.0,332.0,2.0,-1.0,0.0,1
44.0,-299.0,23.0,268.0,1.0,-1.0,0.0,1
33.0,1050.0,26.0,304.0,4.0,-1.0,0.0,1
47.0,7.0,8.0,175.0,2.0,-1.0,0.0,1
30.0,126.0,23.0,75.0,10.0,-1.0,0.0,1
35.0,366.0,29.0,480.0,9.0,-1.0,0.0,1
41.0,0.0,25.0,286.0,2.0,-1.0,0.0,1
53.0,1421.0,13.0,225.0,2.0,-1.0,0.0,1
28.0,8263.0,2.0,267.0,1.0,-1.0,0.0,1
36.0,346.0,5.0,202.0,1.0,-1.0,0.0,1
39.0,532.0,31.0,786.0,2.0,-1.0,0.0,1
52.0,316.0,12.0,463.0,3.0,-1.0,0.0,1
35.0,121.0,5.0,245.0,5.0,-1.0,0.0,1
32.0,-1.0,8.0,228.0,2.0,-1.0,0.0,1
25.0,1141.0,5.0,718.0,1.0,347.0,1.0,1
57.0,1631.0,2.0,254.0,2.0,261.0,3.0,1
35.0,1085.0,27.0,130.0,10.0,-1.0,0.0,1
38.0,531.0,29.0,214.0,3.0,226.0,7.0,1
70.0,3230.0,24.0,112.0,1.0,-1.0,0.0,1
28.0,4.0,27.0,133.0,5.0,-1.0,0.0,1
44.0,756.0,18.0,65.0,1.0,130.0,2.0,1
34.0,1228.0,13.0,99.0,2.0,105.0,10.0,1
43.0,0.0,29.0,73.0,4.0,-1.0,0.0,1
43.0,0.0,7.0,75.0,3.0,-1.0,0.0,1
36.0,25.0,27.0,127.0,4.0,-1.0,0.0,1
54.0,489.0,20.0,280.0,4.0,287.0,3.0,1
23.0,486.0,3.0,87.0,1.0,-1.0,0.0,1
37.0,887.0,14.0,553.0,2.0,-1.0,0.0,1
39.0,3655.0,20.0,422.0,1.0,-1.0,0.0,1
26.0,1842.0,22.0,611.0,1.0,-1.0,0.0,1
58.0,0.0,29.0,535.0,2.0,-1.0,0.0,1
33.0,543.0,7.0,244.0,2.0,-1.0,0.0,1
60.0,0.0,19.0,83.0,2.0,-1.0,0.0,1
58.0,1013.0,30.0,341.0,5.0,-1.0,0.0,1
35.0,430.0,17.0,611.0,1.0,270.0,4.0,1
36.0,163.0,6.0,311.0,2.0,-1.0,0.0,1
34.0,0.0,21.0,123.0,2.0,-1.0,0.0,1
32.0,203.0,7.0,219.0,2.0,-1.0,0.0,1
37.0,3429.0,26.0,81.0,8.0,-1.0,0.0,1
33.0,1737.0,30.0,524.0,2.0,-1.0,0.0,1
46.0,0.0,26.0,208.0,2.0,-1.0,0.0,1
42.0,4014.0,21.0,149.0,4.0,186.0,1.0,1
28.0,981.0,24.0,225.0,1.0,-1.0,0.0,1
26.0,543.0,30.0,169.0,3.0,-1.0,0.0,1
31.0,859.0,2.0,80.0,1.0,-1.0,0.0,1
32.0,-667.0,18.0,152.0,7.0,349.0,1.0,1
36.0,669.0,9.0,91.0,1.0,-1.0,0.0,1
49.0,917.0,11.0,165.0,6.0,-1.0,0.0,1
57.0,567.0,2.0,87.0,2.0,265.0,3.0,1
54.0,0.0,6.0,138.0,3.0,-1.0,0.0,1
53.0,234.0,7.0,103.0,2.0,-1.0,0.0,1
39.0,519.0,26.0,117.0,1.0,-1.0,0.0,1
29.0,-43.0,9.0,484.0,1.0,-1.0,0.0,1
31.0,22.0,22.0,122.0,5.0,-1.0,0.0,1
40.0,170.0,8.0,361.0,3.0,-1.0,0.0,1
32.0,1868.0,27.0,186.0,16.0,-1.0,0.0,1
36.0,-272.0,4.0,53.0,6.0,-1.0,0.0,1
28.0,0.0,27.0,290.0,1.0,-1.0,0.0,1
29.0,2904.0,27.0,33.0,1.0,-1.0,0.0,1
60.0,2008.0,7.0,105.0,2.0,-1.0,0.0,1
37.0,859.0,10.0,154.0,4.0,-1.0,0.0,1
67.0,3377.0,23.0,77.0,2.0,-1.0,0.0,1
29.0,0.0,15.0,91.0,2.0,-1.0,0.0,1
27.0,202.0,21.0,678.0,1.0,-1.0,0.0,1
37.0,27.0,6.0,80.0,1.0,-1.0,0.0,1
41.0,-100.0,16.0,20.0,21.0,-1.0,0.0,1
49.0,177.0,28.0,90.0,1.0,204.0,1.0,1
33.0,99.0,31.0,192.0,3.0,-1.0,0.0,1
34.0,0.0,12.0,117.0,4.0,-1.0,0.0,1
25.0,109.0,16.0,306.0,1.0,-1.0,0.0,1
30.0,1177.0,8.0,220.0,2.0,-1.0,0.0,1
48.0,3940.0,16.0,298.0,6.0,-1.0,0.0,1
30.0,363.0,16.0,136.0,8.0,-1.0,0.0,1
40.0,407.0,2.0,200.0,1.0,271.0,1.0,1
50.0,716.0,5.0,444.0,2.0,-1.0,0.0,1
42.0,1628.0,5.0,119.0,1.0,195.0,8.0,1
33.0,152.0,13.0,351.0,2.0,-1.0,0.0,1
30.0,167.0,3.0,237.0,2.0,-1.0,0.0,1
35.0,523.0,16.0,95.0,1.0,-1.0,0.0,1
49.0,1743.0,18.0,68.0,1.0,-1.0,0.0,1
54.0,316.0,14.0,240.0,1.0,-1.0,0.0,1
47.0,2540.0,18.0,110.0,5.0,-1.0,0.0,1
46.0,2148.0,8.0,176.0,4.0,-1.0,0.0,1
41.0,1567.0,1.0,291.0,2.0,-1.0,0.0,1
60.0,5003.0,4.0,125.0,5.0,-1.0,0.0,1
47.0,780.0,20.0,447.0,2.0,-1.0,0.0,1
40.0,11.0,5.0,83.0,3.0,-1.0,0.0,1
46.0,167.0,19.0,155.0,3.0,-1.0,0.0,1
26.0,518.0,7.0,189.0,3.0,-1.0,0.0,1
73.0,250.0,31.0,245.0,4.0,-1.0,0.0,1
59.0,0.0,22.0,460.0,1.0,-1.0,0.0,1
29.0,874.0,15.0,68.0,5.0,-1.0,0.0,1
54.0,11.0,14.0,452.0,2.0,-1.0,0.0,1
49.0,358.0,13.0,176.0,3.0,-1.0,0.0,1
47.0,0.0,14.0,122.0,2.0,-1.0,0.0,1
27.0,941.0,11.0,124.0,1.0,-1.0,0.0,1
25.0,-282.0,25.0,198.0,1.0,-1.0,0.0,1
36.0,532.0,14.0,603.0,1.0,-1.0,0.0,1
33.0,644.0,11.0,99.0,2.0,-1.0,0.0,1
25.0,-392.0,7.0,346.0,1.0,-1.0,0.0,1
52.0,4711.0,28.0,228.0,2.0,-1.0,0.0,1
41.0,692.0,30.0,249.0,3.0,245.0,3.0,1
34.0,3773.0,21.0,287.0,1.0,-1.0,0.0,1
56.0,0.0,15.0,103.0,1.0,-1.0,0.0,1
29.0,102.0,12.0,154.0,1.0,182.0,5.0,1
35.0,7218.0,14.0,224.0,3.0,-1.0,0.0,1
60.0,872.0,28.0,37.0,5.0,-1.0,0.0,1
58.0,745.0,20.0,23.0,1.0,-1.0,0.0,1
48.0,275.0,5.0,34.0,1.0,-1.0,0.0,1
31.0,603.0,17.0,185.0,2.0,319.0,2.0,1
28.0,20.0,30.0,455.0,2.0,-1.0,0.0,1
23.0,292.0,13.0,437.0,2.0,-1.0,0.0,1
48.0,3766.0,6.0,206.0,2.0,-1.0,0.0,1
34.0,107.0,18.0,110.0,2.0,-1.0,0.0,1
40.0,251.0,30.0,153.0,6.0,-1.0,0.0,1
30.0,855.0,3.0,235.0,2.0,-1.0,0.0,1
59.0,0.0,8.0,425.0,6.0,-1.0,0.0,1
24.0,1611.0,28.0,418.0,1.0,-1.0,0.0,1
34.0,-200.0,25.0,248.0,5.0,-1.0,0.0,1
32.0,545.0,18.0,192.0,1.0,180.0,1.0,1
55.0,505.0,17.0,58.0,1.0,316.0,1.0,1
36.0,1257.0,8.0,108.0,9.0,101.0,1.0,1
40.0,518.0,17.0,84.0,1.0,-1.0,0.0,1
29.0,262.0,9.0,134.0,1.0,-1.0,0.0,1
46.0,374.0,4.0,23.0,5.0,7.0,2.0,1
27.0,3342.0,30.0,761.0,2.0,330.0,4.0,1
39.0,6.0,19.0,286.0,2.0,-1.0,0.0,1
39.0,158.0,6.0,354.0,2.0,-1.0,0.0,1
42.0,3780.0,19.0,104.0,3.0,-1.0,0.0,1
35.0,935.0,28.0,259.0,2.0,-1.0,0.0,1
53.0,453.0,17.0,148.0,2.0,-1.0,0.0,1
37.0,466.0,11.0,92.0,2.0,-1.0,0.0,1
88.0,648.0,3.0,318.0,1.0,-1.0,0.0,1
36.0,0.0,25.0,106.0,1.0,205.0,2.0,1
32.0,390.0,23.0,85.0,1.0,-1.0,0.0,1
32.0,144.0,19.0,260.0,11.0,-1.0,0.0,1
39.0,4619.0,21.0,104.0,1.0,-1.0,0.0,1
29.0,55.0,10.0,235.0,1.0,-1.0,0.0,1
35.0,299.0,19.0,1059.0,5.0,-1.0,0.0,1
37.0,442.0,20.0,51.0,4.0,349.0,1.0,1
44.0,2887.0,13.0,182.0,1.0,-1.0,0.0,1
35.0,0.0,2.0,184.0,1.0,-1.0,0.0,1
35.0,2518.0,9.0,400.0,1.0,-1.0,0.0,1
28.0,158.0,24.0,77.0,1.0,-1.0,0.0,1
64.0,1977.0,24.0,160.0,2.0,-1.0,0.0,1
46.0,-119.0,22.0,151.0,3.0,-1.0,0.0,1
38.0,0.0,12.0,133.0,1.0,-1.0,0.0,1
51.0,734.0,5.0,17.0,1.0,-1.0,0.0,1
31.0,438.0,12.0,130.0,2.0,-1.0,0.0,1
56.0,0.0,13.0,112.0,4.0,-1.0,0.0,1
42.0,717.0,4.0,152.0,6.0,-1.0,0.0,1
39.0,-53.0,28.0,189.0,3.0,-1.0,0.0,1
31.0,39.0,15.0,123.0,5.0,-1.0,0.0,1
48.0,308.0,14.0,125.0,5.0,-1.0,0.0,1
45.0,183.0,29.0,27.0,4.0,-1.0,0.0,1
33.0,-342.0,28.0,528.0,2.0,-1.0,0.0,1
47.0,-598.0,28.0,239.0,4.0,-1.0,0.0,1
32.0,518.0,18.0,34.0,7.0,-1.0,0.0,1
51.0,176.0,1.0,8.0,1.0,687.0,2.0,1
35.0,348.0,15.0,323.0,3.0,-1.0,0.0,1
35.0,876.0,20.0,318.0,1.0,-1.0,0.0,1
45.0,766.0,25.0,59.0,15.0,-1.0,0.0,1
39.0,-455.0,23.0,542.0,2.0,-1.0,0.0,1
53.0,8112.0,15.0,75.0,1.0,146.0,1.0,1
45.0,0.0,9.0,74.0,1.0,-1.0,0.0,1
37.0,744.0,21.0,161.0,3.0,-1.0,0.0,1
28.0,1925.0,20.0,147.0,1.0,90.0,1.0,1
39.0,2985.0,14.0,91.0,2.0,-1.0,0.0,1
54.0,24.0,28.0,404.0,1.0,-1.0,0.0,1
37.0,11391.0,21.0,103.0,1.0,-1.0,0.0,1
48.0,1567.0,20.0,77.0,3.0,-1.0,0.0,1
32.0,3829.0,20.0,267.0,1.0,-1.0,0.0,1
32.0,390.0,5.0,100.0,1.0,243.0,1.0,1
34.0,581.0,21.0,176.0,4.0,-1.0,0.0,1
48.0,252.0,7.0,261.0,5.0,-1.0,0.0,1
40.0,1584.0,21.0,661.0,1.0,-1.0,0.0,1
37.0,1795.0,5.0,511.0,1.0,-1.0,0.0,1
27.0,15.0,21.0,177.0,1.0,-1.0,0.0,1
39.0,640.0,13.0,220.0,4.0,370.0,2.0,1
38.0,571.0,4.0,275.0,3.0,-1.0,0.0,1
36.0,0.0,14.0,636.0,6.0,-1.0,0.0,1
51.0,383.0,20.0,164.0,1.0,-1.0,0.0,1
38.0,1610.0,17.0,76.0,6.0,-1.0,0.0,1
41.0,0.0,2.0,20.0,1.0,-1.0,0.0,1
35.0,620.0,17.0,57.0,2.0,-1.0,0.0,1
43.0,3872.0,9.0,225.0,2.0,-1.0,0.0,1
37.0,449.0,29.0,59.0,4.0,-1.0,0.0,1
35.0,-84.0,9.0,19.0,11.0,-1.0,0.0,1
31.0,0.0,21.0,243.0,2.0,-1.0,0.0,1
34.0,865.0,21.0,51.0,7.0,-1.0,0.0,1
39.0,1062.0,20.0,10.0,4.0,-1.0,0.0,1
31.0,297.0,16.0,357.0,2.0,-1.0,0.0,1
53.0,256.0,2.0,202.0,1.0,-1.0,0.0,1
47.0,1493.0,31.0,89.0,5.0,-1.0,0.0,1
35.0,244.0,21.0,54.0,10.0,-1.0,0.0,1
34.0,2583.0,28.0,64.0,1.0,95.0,2.0,1
47.0,0.0,14.0,81.0,2.0,-1.0,0.0,1
49.0,229.0,8.0,219.0,2.0,-1.0,0.0,1
35.0,0.0,9.0,115.0,4.0,-1.0,0.0,1
39.0,157.0,13.0,290.0,1.0,-1.0,0.0,1
51.0,437.0,6.0,109.0,1.0,-1.0,0.0,1
59.0,434.0,12.0,63.0,3.0,-1.0,0.0,1
55.0,1695.0,3.0,69.0,2.0,-1.0,0.0,1
39.0,0.0,28.0,93.0,25.0,-1.0,0.0,1
48.0,595.0,24.0,464.0,1.0,-1.0,0.0,1
42.0,-887.0,2.0,349.0,4.0,-1.0,0.0,1
30.0,199.0,28.0,131.0,7.0,-1.0,0.0,1
69.0,473.0,20.0,333.0,1.0,-1.0,0.0,1
50.0,38.0,9.0,42.0,1.0,-1.0,0.0,1
55.0,73.0,5.0,142.0,2.0,-1.0,0.0,1
29.0,370.0,29.0,119.0,2.0,251.0,5.0,1
32.0,-311.0,18.0,218.0,2.0,-1.0,0.0,1
55.0,274.0,9.0,7.0,5.0,-1.0,0.0,1
29.0,115.0,29.0,61.0,2.0,-1.0,0.0,1
48.0,191.0,17.0,222.0,1.0,326.0,1.0,1
28.0,36.0,14.0,158.0,3.0,-1.0,0.0,1
60.0,6684.0,5.0,173.0,1.0,-1.0,0.0,1
30.0,127.0,18.0,16.0,6.0,368.0,1.0,1
43.0,54.0,30.0,62.0,2.0,-1.0,0.0,1
57.0,79.0,1.0,60.0,1.0,592.0,2.0,1
32.0,-370.0,27.0,98.0,1.0,-1.0,0.0,1
31.0,162.0,11.0,0.0,2.0,-1.0,0.0,1
36.0,1198.0,9.0,278.0,3.0,-1.0,0.0,1
34.0,0.0,24.0,60.0,1.0,-1.0,0.0,1
60.0,174.0,15.0,241.0,1.0,364.0,1.0,1
41.0,406.0,9.0,2462.0,1.0,-1.0,0.0,1
34.0,934.0,18.0,909.0,3.0,-1.0,0.0,1
29.0,-194.0,7.0,127.0,1.0,-1.0,0.0,1
39.0,1889.0,29.0,108.0,2.0,-1.0,0.0,1
54.0,841.0,8.0,284.0,4.0,-1.0,0.0,1
31.0,0.0,14.0,215.0,1.0,-1.0,0.0,1
45.0,356.0,11.0,212.0,2.0,-1.0,0.0,1
28.0,164.0,9.0,92.0,7.0,-1.0,0.0,1
25.0,669.0,24.0,367.0,2.0,-1.0,0.0,1
37.0,-196.0,7.0,207.0,1.0,-1.0,0.0,1
39.0,394.0,29.0,551.0,2.0,-1.0,0.0,1
32.0,530.0,3.0,170.0,1.0,-1.0,0.0,1
40.0,-199.0,30.0,109.0,1.0,-1.0,0.0,1
33.0,968.0,28.0,95.0,10.0,-1.0,0.0,1
41.0,15302.0,19.0,121.0,4.0,-1.0,0.0,1
39.0,947.0,8.0,124.0,2.0,-1.0,0.0,1
55.0,719.0,11.0,221.0,6.0,284.0,29.0,1
40.0,252.0,15.0,103.0,6.0,-1.0,0.0,1
42.0,-97.0,3.0,216.0,4.0,271.0,5.0,1
34.0,0.0,20.0,150.0,1.0,-1.0,0.0,1
33.0,70.0,21.0,333.0,3.0,-1.0,0.0,1
41.0,0.0,3.0,858.0,1.0,-1.0,0.0,1
28.0,1010.0,6.0,911.0,1.0,336.0,2.0,1
27.0,1414.0,2.0,95.0,1.0,-1.0,0.0,1
32.0,1568.0,12.0,161.0,6.0,-1.0,0.0,1
45.0,171.0,12.0,539.0,1.0,-1.0,0.0,1
28.0,27.0,27.0,294.0,1.0,-1.0,0.0,1
31.0,2951.0,17.0,115.0,1.0,-1.0,0.0,1
40.0,0.0,17.0,728.0,3.0,-1.0,0.0,1
51.0,311.0,14.0,122.0,2.0,-1.0,0.0,1
54.0,0.0,16.0,101.0,6.0,-1.0,0.0,1
23.0,250.0,12.0,166.0,2.0,-1.0,0.0,1
43.0,140.0,18.0,192.0,7.0,-1.0,0.0,1
42.0,250.0,12.0,213.0,3.0,-1.0,0.0,1
29.0,-28.0,12.0,393.0,1.0,-1.0,0.0,1
33.0,716.0,14.0,234.0,2.0,-1.0,0.0,1
26.0,0.0,27.0,107.0,2.0,-1.0,0.0,1
59.0,741.0,19.0,194.0,2.0,152.0,2.0,1
60.0,1210.0,11.0,231.0,2.0,-1.0,0.0,1
36.0,0.0,17.0,222.0,3.0,-1.0,0.0,1
31.0,416.0,11.0,33.0,2.0,-1.0,0.0,1
56.0,1346.0,28.0,240.0,3.0,-1.0,0.0,1
38.0,1255.0,17.0,151.0,2.0,171.0,2.0,1
59.0,2443.0,20.0,8.0,8.0,-1.0,0.0,1
48.0,1600.0,18.0,448.0,1.0,-1.0,0.0,1
30.0,6683.0,30.0,180.0,1.0,-1.0,0.0,1
37.0,171.0,7.0,250.0,3.0,-1.0,0.0,1
